2019-04-21 16:11:43.841 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Salary offere ranged: Not disclosed
2019-04-21 16:11:44.207 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium - Pune - Accenture - 2 to 6 years of experience
2019-04-21 16:12:04.372 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Member - Technology Management - Bengaluru/Bangalore, Pune - EdgeVerve Systems Limited - 2 to 6 years of experience
2019-04-21 16:12:24.489 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Payments Fundtech Global Pay Plus - Pune - Accenture - 3 to 4 years of experience
2019-04-21 16:12:44.653 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium Test Analyst - Pune - Capgemini Technology Services India Limited - 4 to 6 years of experience
2019-04-21 16:12:44.895 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Blue Color Apply button is dispayed : Apply
2019-04-21 16:12:45.157 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Apply button clicked on postion : 174231
2019-04-21 16:12:45.742 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - update carieer pop-up displayed
2019-04-21 16:12:48.275 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated back to >>>>>>>>>>>>>>>>>>>>>>>>>>> : CDWINDOW-E406328A08DAC8F2D38989097C3E8C38
2019-04-21 16:12:48.427 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Job Name ================================> Automation /selenium Testing@pune-hinjewadi
2019-04-21 16:12:48.501 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Organisation Name ================================> Pune
2019-04-21 16:12:48.567 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Salary offere ranged: INR 4,00,000 - 8,00,000 P.A.
2019-04-21 16:12:49.028 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium - Pune - Accenture - 2 to 6 years of experience
2019-04-21 16:13:09.217 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Member - Technology Management - Bengaluru/Bangalore, Pune - EdgeVerve Systems Limited - 2 to 6 years of experience
2019-04-21 16:13:29.402 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Payments Fundtech Global Pay Plus - Pune - Accenture - 3 to 4 years of experience
2019-04-21 16:13:49.881 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Automation /selenium Testing@pune-hinjewadi - Mumbai, Pune - Sellcraft Global Solutions Private Limited - 3 to 5 years of experience
2019-04-21 16:13:50.145 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Blue Color Apply button is dispayed : Apply
2019-04-21 16:13:50.479 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Apply button clicked on postion : 174248
2019-04-21 16:13:51.563 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - update carieer pop-up displayed
2019-04-21 16:13:54.136 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated back to >>>>>>>>>>>>>>>>>>>>>>>>>>> : CDWINDOW-E406328A08DAC8F2D38989097C3E8C38
2019-04-21 16:13:54.295 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Job Name ================================> Urgent Openings for Automation(qtp, Selenium, ETL)
2019-04-21 16:13:54.442 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Organisation Name ================================> Talent21 Management Shared Services Pvt. ltd.
2019-04-21 16:13:54.551 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Salary offere ranged: INR 4,00,000 - 6,00,000 P.A.
